_id,timestamp,double_values_0,double_values_1,double_values_2,accuracy
10500,1373576769125,-1.536804199,3.394134521,9.007369995,2
10501,1373576769190,-1.504669189,3.422698975,8.943099976,2
10502,1373576769239,-1.46182251,3.508392334,8.896682739,2
10503,1373576769293,-1.513000488,3.538146973,8.851455688,2
10504,1373576769388,-1.589172363,3.464355469,8.837173462,2
10505,1373576769433,-1.587982178,3.491729736,8.747909546,2
10506,1373576769478,-1.641540527,3.465545654,8.782424927,2
10507,1373576769521,-1.701049805,3.459594727,8.956192017,2
10508,1373576769546,-1.727233887,3.432220459,9.114486694,2
10509,1373576769565,-1.814117432,3.429840088,9.40965271,2
10510,1373576769602,-1.877197266,3.461975098,9.552474976,2
10511,1373576769639,-1.978363037,3.382232666,9.783370972,2
10512,1373576769663,-2.128326416,3.333435059,9.836929321,2
10513,1373576769704,-2.264007568,3.269165039,9.989273071,2
10514,1373576769722,-2.423492432,3.163238525,10.01783752,2
10515,1373576769741,-2.404449463,2.954956055,10.08091736,2
10516,1373576769758,-2.437774658,2.893066406,9.96546936,2
10517,1373576769779,-2.305664063,2.819274902,9.778610229,2
10518,1373576769795,-2.242584229,2.806182861,9.66078186,2
10519,1373576769812,-2.140228271,2.897827148,9.627456665,2
10520,1373576769836,-2.140228271,2.993041992,9.634597778,2
10521,1373576769862,-2.214019775,3.002563477,9.588180542,2
10522,1373576769894,-2.240203857,2.983520508,9.720291138,2
10523,1373576769946,-2.372314453,2.973999023,9.744094849,2
10524,1373576769966,-2.419921875,2.957336426,9.822647095,2
10525,1373576769983,-2.378265381,2.804992676,9.738143921,2
10526,1373576769998,-2.334228516,2.668121338,9.759567261,2
10527,1373576770013,-2.448486328,2.526489258,9.697677612,2
10528,1373576770028,-2.460388184,2.449127197,9.56199646,2
10529,1373576770048,-2.471099854,2.287261963,9.403701782,2
10530,1373576770064,-2.493713379,2.193237305,9.28944397,2
10531,1373576770080,-2.547271729,2.121826172,9.21446228,2
